Website,Trustworthiness,Avg_Daily_Visitors,Child_Safety,Avg_Daily_Pageviews,Privacy,Facebook_likes,Twitter_mentions,Google_pluses,LinkedIn_mentions,Pinterest_pins,StumbleUpon_views,Traffic_Rank,Reach_Day,Month_Average_Daily_Reach,Daily_Pageviews,Month_Average_Daily_Pageviews,Daily_Pageviews_per_user,Location,Hosted_by,Registrar,subnetwork_count,Status
emploi.cg,Unknown,12242.0,Unknown,42849.0,Unknown,1,6,4960,12,0,65,67974,0.000764,0.000936,1.9e-05,9.9e-05,0.955,United Kingdom,Petyst Isabelle,Unknown,1,Risky
youporn.com,Excellent,3155553.0,Very poor,13947543.0,Excellent,3,407,23100,302,4,98000,253,0.29088,0.25632,0.031968,0.026112,4.1376,Netherlands,ded1001,EURODNS S.A,1,Safe
media-fire.org,Very poor,172293.0,Very poor,172293.0,Very poor,3,6,12,157,0,65,5310,0.01824,0.020064,0.00047,0.000474,0.96,United States,"CloudFlare, Inc.",Public Interest Registry,2,Safe
zone-telechargement.ws,Good,1071624.0,Excellent,5486717.0,Good,3,6,3,6,0,65,761,0.096,0.087264,0.0124799999999999,0.0108,4.8,United States,"CloudFlare, Inc.",Samoa Nic,2,Safe
cpabien.xyz,Unknown,143896.0,Unknown,964101.0,Unknown,3,6,1,157,0,65,14071,0.012415,0.009111,0.002197,0.00128,7.449000000000001,United States,"CloudFlare, Inc.",Unknown,2,Risky
nextorrent.net,Unsatisfactory,126058.0,Unknown,605076.0,Unsatisfactory,3,6,4960,157,0,65,8875,0.01152,0.009984,0.00144,0.001267,5.088,United States,"CloudFlare, Inc.","GODADDY.COM, LLC",2,Safe
pckeeper.software,Unsatisfactory,341509.0,Unknown,512264.0,Unsatisfactory,3,6,4960,157,0,65,4955,0.024,0.030048,0.000826,0.001094,1.4400000000000002,United States,Amazon Technologies Inc.,Unknown,2,Risky
eurosport.fr,Excellent,397180.0,Excellent,1374243.0,Excellent,24,6,5640,91,0,143,2569,0.03456,0.032736,0.003206,0.002534,3.552,United States,"Akamai Technologies, Inc.",AFNIC,2,Safe
crhoy.com,Good,70300.0,Excellent,217930.0,Good,1,84,225,158,0,10,1021,0.006432,0.005818,0.000422,0.000434,2.784,United States,"CloudFlare, Inc.","DOMAIN.COM, LLC",2,Safe
teletica.com,Excellent,47564.0,Excellent,137937.0,Excellent,1,720,6300,24,0,1,1307,0.004512,0.003658,0.00024,0.000228,2.016,United States,"451 GROUP, INC.","GODADDY.COM, LLC",1,Safe
google.co.cr,Excellent,17926251.5,Excellent,42355407.5,Excellent,90,175,448,30,0,316,6213,0.01248,0.014016,0.00096,0.000998,2.976,United States,Google Inc.,Unknown,1,Risky
encuentra24.com,Good,76657.0,Excellent,758910.0,Good,1,2740,6320,108,0,36,2088,0.005664,0.006029,0.001632,0.001469,10.56,United States,"INETu, Inc.",KEY-SYSTEMS GMBH,1,Safe
bnonline.fi.cr,Excellent,56111.0,Excellent,673340.0,Excellent,1,10,5975,151,0,159,13688,0.002961,0.00446,0.000716,0.001203,9.168,Costa Rica,Banco Nacional de Costa Rica (BNCR),NIC Costa Rica,1,Safe
sucursalelectronica.com,Excellent,96456.0,Excellent,530510.0,Excellent,1,1,5975,151,0,159,10065,0.004298,0.007564,0.000554,0.000993,4.8705,United States,"Akamai Technologies, Inc.","NETWORK SOLUTIONS, LLC.",1,Safe
nacion.com,Excellent,101558.0,Excellent,223426.0,Excellent,563,229,33000,106,0,22,11721,0.006781,0.008032,0.000382,0.000411,2.101,United States,"Akamai Technologies, Inc.","NETWORK SOLUTIONS, LLC.",2,Safe
2funtv.com,Unknown,765.0,Unknown,1530.0,Unknown,1,198,5975,151,0,159,47958,9.6e-05,6.4e-05,4e-06,5e-06,0.955,United States,"GoDaddy.com, LLC","GODADDY.COM, LLC",1,Risky
bancobcr.com,Excellent,46896.0,Excellent,145380.0,Excellent,1,49,92,2,0,2,24097,0.001719,0.0036,0.000153,0.000253,3.438,Costa Rica,Banco de Costa Rica,PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM,1,Safe
ucr.ac.cr,Excellent,48885.0,Excellent,175986.0,Excellent,1,27,37,2,0,42,19938,0.002579,0.003648,0.00022,0.000332,3.247,Costa Rica,Early registration addresses,NIC Costa Rica,2,Safe
bncr.fi.cr,Excellent,37586.0,Excellent,71415.0,Excellent,1,18,5975,1,0,159,33143,0.001433,0.002961,8.1e-05,0.000123,2.101,Costa Rica,Banco Nacional de Costa Rica (BNCR),NIC Costa Rica,1,Safe
baccredomatic.com,Excellent,76799.0,Excellent,138238.0,Excellent,1,198,74,3,0,159,18092,0.005921,0.00595,0.000306,0.000245,2.101,United States,"Akamai Technologies, Inc.","NETWORK SOLUTIONS, LLC.",1,Safe
mercadolibre.co.cr,Excellent,17926251.5,Excellent,42355407.5,Excellent,1,1,80,1,0,1,35027,0.001242,0.001795,0.00022,0.000278,7.1625,Argentina,MercadoLibre Inc.,Unknown,1,Risky
elmundo.cr,Unknown,4081.0,Unknown,8161.0,Unknown,1,198,8,32,0,159,42562,0.000478,0.000306,1.6e-05,2.8e-05,1.91,United States,SiteGround Chicago,NIC Costa Rica,1,Risky
repretel.com,Excellent,25505.0,Excellent,86718.0,Excellent,1,164,35,3,0,30,44118,0.001815,0.00192,9.6e-05,0.000128,2.292,United States,"Amazon.com, Inc.","NETWORK SOLUTIONS, LLC.",1,Safe
uned.ac.cr,Excellent,18196.0,Excellent,121915.0,Excellent,1,9,2,151,0,1,42473,0.001337,0.001528,0.000153,0.000288,5.0615,Costa Rica,TRES RIOS,NIC Costa Rica,1,Safe
google.ci,Excellent,105069.0,Excellent,263724.0,Excellent,16,5,121,4,0,142,10392,0.008022,0.008681,0.000535,0.000498,2.483,United States,Google Inc.,Unknown,1,Risky
abidjan.net,Good,164333.0,Excellent,345099.0,Good,597,30100,540,226,0,6,8774,0.01056,0.011232,0.00047,0.000516,1.728,United States,Weblogy Group Limited,"REGISTER.COM, INC.",1,Safe
jumia.ci,Unknown,68014.0,Unknown,328509.0,Unknown,1,5,2290,26,0,9,16177,0.005348,0.004823,0.000727,0.000633,5.539,United States,Incapsula Inc,Unknown,1,Risky
gouv.ci,Good,36463.0,Excellent,98450.0,Good,586,1,4,1,0,1,31778,0.003629,0.002951,0.000239,0.000163,2.7695,Unknown,Unknown,Unknown,1,Risky
laatech.net,Unknown,24889.0,Unknown,144360.0,Unknown,1,5,678,25,0,9,46000,0.002292,0.002025,0.000318,0.000272,5.73,Netherlands,SingleHop BV,TUCOWS DOMAINS INC.,1,Risky
flashresultats.fr,Good,173822.0,Excellent,1230665.0,Good,15,5,5170,1,0,3,5128,0.01152,0.014496,0.001421,0.002352,5.088,Czech Republic,Livesport,AFNIC,1,Safe
educarriere.ci,Unknown,24896.0,Unknown,166804.0,Unknown,11,5,226,138,0,9,34276,0.002292,0.002082,0.000329,0.000324,6.112,France,classes 8to12,Unknown,1,Risky
imatin.net,Unknown,11732.0,Unknown,23464.0,Unknown,28,155,13,25,0,9,21094,0.001146,0.001146,5.2e-05,5.7e-05,1.91,Germany,Hetzner Online GmbH,"NAME.COM, INC.",1,Risky
koaci.com,Good,32987.0,Excellent,98960.0,Good,6,1870,477,24,0,9,33651,0.002579,0.002569,0.000191,0.000171,3.056,France,OVH SAS,OVH,1,Safe
men-deco.org,Unknown,15990.0,Unknown,83147.0,Unknown,1,8,8,1,0,9,67948,0.002292,0.000816,0.000404,6.4e-05,7.258,United Kingdom,Canonical range for A9,Public Interest Registry,1,Risky
streaming-illimite-ci.com,Unknown,9883.0,Unknown,15813.0,Unknown,1,5,678,25,0,9,67925,0.000764,0.001337,3.1e-05,5.3e-05,1.719,France,Jaguar Network,GENIOUS COMMUNICATIONS SARL/AU,1,Risky
orange.ci,Good,12680.0,Excellent,44379.0,Good,1,1,5,2,0,9,67895,0.001146,0.001089,8.4e-05,8.1e-05,3.1515,Cote D'Ivoire,ISP Cote d'Ivoire,Unknown,1,Risky
betclic.com,Unsatisfactory,139110.0,Unsatisfactory,281002.0,Unsatisfactory,1,1,23,9,0,6,8979,0.02016,0.011712,0.000864,0.000559,1.632,Isle of Man,BC IP Limited,"ASCIO TECHNOLOGIES, INC. DANMARK - FILIAL AF ASCIO TECHNOLOGIES, INC. USA",1,Safe
ligue.fr,Unknown,33189.0,Unknown,262194.0,Unknown,1,5,528,25,0,9,30889,0.002292,0.002388,0.000392,0.000408,7.067,Czech Republic,Livesport,AFNIC,1,Risky
ivoirebusiness.net,Unknown,17598.0,Unknown,35197.0,Unknown,2,2370,23,12,0,9,43141,0.001719,0.001624,7.8e-05,8.3e-05,1.91,France,OVH SAS,1 API GMBH,1,Risky
yrdrtzmsmt.com,Very poor,273481.0,Very poor,574310.0,Very poor,1,5,678,25,0,9,2353,0.01824,0.02688,0.000854,0.001354,2.016,United States,Amazon Technologies Inc.,INWX GMBH & CO. KG,1,Safe
mobsweet.com,Unknown,47086.0,Unknown,61213.0,Unknown,1,5,1,25,0,9,17587,0.002292,0.006637,5.9e-05,0.0002,1.146,Germany,AAA-Webservice,1 API GMBH,1,Risky
google.hr,Excellent,1141976.0,Excellent,8953092.0,Excellent,39,11,859,62,0,1850,634,0.089664,0.091392,0.017472,0.016464,7.3536,United States,Google Inc.,CARNet - Croatian Academic and Research Network,1,Safe
njuskalo.hr,Excellent,160944.0,Excellent,2204942.0,Excellent,4400,11,8420,35,0,47,4358,0.01248,0.013152,0.004685,0.004253,14.4,Croatia,Styria IT Solutions d.o.o.,CARNet - Croatian Academic and Research Network,2,Safe
net.hr,Excellent,150312.0,Excellent,503547.0,Excellent,6,11,295,14,0,191,7197,0.01152,0.012288,0.001133,0.000979,3.648,United States,"Automattic, Inc",CARNet - Croatian Academic and Research Network,2,Safe
vecernji.hr,Excellent,179292.0,Excellent,512777.0,Excellent,3,1,1660,8,0,18,6232,0.0144,0.014304,0.001152,0.000998,2.976,Croatia,Styria IT Solutions d.o.o.,CARNet - Croatian Academic and Research Network,2,Safe
tportal.hr,Excellent,120899.0,Excellent,297410.0,Excellent,1,1,1310,39,0,23,9513,0.007872,0.00959,0.00049,0.000577,2.4,Croatia,Styria IT Solutions d.o.o.,CARNet - Croatian Academic and Research Network,2,Safe
skole.hr,Good,67372.0,Excellent,714149.0,Good,3,6,6,35,0,1,13264,0.004584,0.005081,0.000984,0.001184,8.3085,Croatia,CARNet backbone,CARNet - Croatian Academic and Research Network,1,Safe
rtl.hr,Excellent,113079.0,Excellent,323407.0,Excellent,1,11,172,35,0,6,10502,0.00955,0.008891,0.000649,0.000605,2.5785,Croatia,I.T. Plus d.o.o.,CARNet - Croatian Academic and Research Network,1,Safe
slobodnadalmacija.hr,Excellent,89779.0,Excellent,269336.0,Excellent,2,12,110,4,0,33,12918,0.006876,0.006742,0.000525,0.000532,2.865,Netherlands,Netmedia Sistemi d.o.o.,CARNet - Croatian Academic and Research Network,1,Safe
forum.hr,Excellent,68314.0,Excellent,348402.0,Excellent,3,4,82,35,0,12,13247,0.005253,0.005635,0.000697,0.000688,5.0615,United States,"CloudFlare, Inc.",CARNet - Croatian Academic and Research Network,2,Safe
narod.hr,Good,10020.0,Excellent,28055.0,Good,3,16,53,4,0,41,17268,0.000812,0.000735,4.2e-05,4.7e-05,2.0055,Croatia,I.T. Plus d.o.o.,CARNet - Croatian Academic and Research Network,1,Safe
lika-online.com,Unknown,870.0,Unknown,3571.0,Unknown,3,11,2,35,0,1,22532,3.8e-05,7.2e-05,2e-06,9e-06,2.865,Croatia,InfoNET d.o.o,PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM,1,Risky
telegram.hr,Good,61495.0,Excellent,110693.0,Good,1,11,38,39,0,1,20108,0.005635,0.005081,0.00021,0.00022,1.6235,United States,"CloudFlare, Inc.",CARNet - Croatian Academic and Research Network,2,Safe
blogspot.hr,Unknown,50443.0,Unknown,90799.0,Unknown,3,11,11700000,35,0,41,24215,0.004202,0.004059,0.000201,0.000172,2.0055,United States,Google Inc.,CARNet - Croatian Academic and Research Network,1,Risky
prognoza.hr,Excellent,46274.0,Excellent,129567.0,Excellent,3,1,80,35,0,41,24612,0.003725,0.003839,0.000277,0.000264,2.7695,Croatia,CARNet backbone,CARNet - Croatian Academic and Research Network,1,Safe
unizg.hr,Excellent,44598.0,Excellent,156092.0,Excellent,3,11,8,2,0,1,21139,0.004011,0.003629,0.000277,0.000314,2.9605,Croatia,Sveucilisni racunski centar,CARNet - Croatian Academic and Research Network,1,Safe
dnevno.hr,Excellent,43899.0,Excellent,144870.0,Excellent,290,4,1720,3,0,33,27218,0.003534,0.003018,0.00022,0.000217,2.483,United States,"CloudFlare, Inc.",CARNet - Croatian Academic and Research Network,2,Safe
hrt.hr,Excellent,46249.0,Excellent,138748.0,Excellent,8,1,137,23,0,3,23508,0.003629,0.003858,0.000296,0.000274,3.056,Croatia,HRT - Croatian Radio Television,CARNet - Croatian Academic and Research Network,1,Safe
rarbg.to,Excellent,2840189.0,Unsatisfactory,23403157.0,Excellent,3,11,45,35,0,41,250,0.22368,0.22848,0.0408,0.045888,7.776,Bosnia and Herzegovina,S A and A stroi proekt EOOD,Unknown,1,Risky
dulist.hr,Good,3911.0,Excellent,11732.0,Good,3,1,6,3,0,41,34476,0.000191,0.000315,3.2e-05,1.8e-05,6.685,Germany,HEG Mass,CARNet - Croatian Academic and Research Network,1,Safe
